title,author,slug,cover_image,release_date,date_read,status,comment,ai_comment,rating,country,book_url,isbn,language,translated_from,genre
Scattered All Over the World,Yoko Tawada,scattered-all-over-the-world,scattered_all_over_the_world.png,2022,2025-07-26,read,"I loved the idea and was fascinated by the unique writing style. The flow and writing stood above the story, but the story was still interesting enough to keep me engaged.",Playful linguistics in a world without Japan; language as migration map.,3.5,Japan,https://openlibrary.org/search?title=Scattered+All+Over+the+World&author=Yoko+Tawada,,,,
We Do Not Part,Han Kang,we-do-not-part,we_do_not_part.png,2021,2025-07-26,read,"This felt focused on inner emotions and relationships more than physical context. I like Han Kang, but sometimes I struggled to follow every thread and what it all meant.",Fragments of grief and art practice; soft but razor-edged.,3,South Korea,https://openlibrary.org/search?title=We+Do+Not+Part&author=Han+Kang,,,,
Vanishing World,Sayaka Murata,vanishing-world,vanishing_world.png,2025,2025-07-26,read,"This book hangs on its core idea. It is far-fetched but still connected enough to today's society to keep me very interested, especially in how human relationships may evolve.",Breezy apocalypse vignettes that treat oddity as common sense.,3,Japan,https://openlibrary.org/search?title=Vanishing+World&author=Sayaka+Murata,,,,
In Praise of Shadows,Junichiro Tanizaki,in-praise-of-shadows,in_praise_of_shadows.png,1933,2025-06-20,read,"Fantastic. Some parts are outdated, but most ideas still hold. It made me think about not only light, but also what light takes away and how the unseen can be beautiful.",A meditation on darkness and lacquerware; still feels current about tech and taste.,5,Japan,https://openlibrary.org/search?title=In+Praise+of+Shadows&author=Junichiro+Tanizaki,,,,
Earthlings,Sayaka Murata,earthlings,earthlings.png,2018,2024,read,--,Deadpan alienation turning into something feral and unforgettable.,5,Japan,https://openlibrary.org/search?title=Earthlings&author=Sayaka+Murata,,,,
The Night of Baba Yaga,Akira Otani,the-night-of-baba-yaga,night_of_baba_yaga.png,2020,2025-07-26,reading,--,Forest folklore retold with modern dread; slow-build eeriness.,4,Japan,https://openlibrary.org/search?title=The+Night+of+Baba+Yaga&author=Akira+Otani,,,,
Empire of AI,Karen Hao,empire-of-ai,empire_of_ai.png,2025,2025-07-26,reading,--,Reported look at AI power centers; maps regulation gaps and incentives.,4,USA,https://openlibrary.org/search?title=Empire+of+AI&author=Karen+Hao,,,,
The White Book,Han Kang,the-white-book,whitebook.png,2016,2025,read,I hope I pick this up again. The format feels new and intriguing to me.,Lyrical meditation on loss using the color white as scaffolding.,4,South Korea,https://openlibrary.org/search?title=The+White+Book&author=Han+Kang,,,,
Morgon og Kveld,Jon Fosse,morgon-og-kveld,morgon_og_kveld.png,2000,2025,read,--,A lyrical novella about a fisherman's birth and final day that quietly meditates on mortality faith and crossing into the unknown.,,Norway,https://openlibrary.org/search?title=Morgon+og+Kveld&author=Jon+Fosse,,,,
The Coming Wave,Mustafa Suleyman,the-coming-wave,the_coming_wave.png,2023,2025,read,--,Suleyman argues that AI and synthetic biology will arrive fast and asks whether institutions can contain their risks before they scale.,,United Kingdom,https://openlibrary.org/search?title=The+Coming+Wave&author=Mustafa+Suleyman,,,,
Abroad in Japan,Chris Broad,abroad-in-japan,abroad_in_japan.png,2023,2025,read,--,Chris Broad recounts his years in Japan through travel stories culture clashes and sharp humor from rural life to big city adventures.,,United Kingdom,https://openlibrary.org/search?title=Abroad+in+Japan&author=Chris+Broad,,,,
Factfulness,Hans Rosling,factfulness,factfulness.png,2018,2025,read,--,Rosling uses global data to challenge common myths and shows how bias and fear distort how we judge progress in the world.,,Sweden,https://openlibrary.org/search?title=Factfulness&author=Hans+Rosling,,,,
Pachinko,Min Jin Lee,pachinko,pachinko.png,2017,2025,read,--,A multigenerational saga of a Korean family in Japan tracing love survival and discrimination from colonial Korea into the modern era.,,South Korea,https://openlibrary.org/search?title=Pachinko&author=Min+Jin+Lee,,,,
Klara and the Sun,Kazuo Ishiguro,klara-and-the-sun,klara_and_the_sun.png,2021,2025,read,--,An Artificial Friend observes human love class and illness while trying to save the girl she was bought to companion.,,United Kingdom,https://openlibrary.org/search?title=Klara+and+the+Sun&author=Kazuo+Ishiguro,,,,
Weasels in the Attic,Hiroko Oyamada,weasels-in-the-attic,weasels_in_the_attic.png,2013,2025,read,--,Three linked surreal stories follow a couple and their circle as parenthood anxiety and social pressure turn ordinary life uncanny.,,Japan,https://openlibrary.org/search?title=Weasels+in+the+Attic&author=Hiroko+Oyamada,,,,
Strange Pictures,Uketsu,strange-pictures,strange_pictures.png,2024,2025,read,--,Interlocking mystery cases are solved through unsettling drawings whose hidden clues connect multiple crimes and buried motives.,,Japan,https://openlibrary.org/search?title=Strange+Pictures&author=Uketsu,,,,
The City and Its Uncertain Walls,Haruki Murakami,the-city-and-its-uncertain-walls,uncertain_walls.png,2024,2025,read,--,A man searches across reality and a shadowless walled city for a lost love in a dreamlike meditation on memory and identity.,,Japan,https://openlibrary.org/search?title=The+City+and+Its+Uncertain+Walls&author=Haruki+Murakami,,,,
The Three-Body Problem,Cixin Liu,the-three-body-problem,three_body_problem.png,2006,2025,read,--,Set against and after the Cultural Revolution this first-contact saga links frontier physics to a looming alien threat to humanity.,,China,https://openlibrary.org/search?title=The+Three-Body+Problem&author=Cixin+Liu,,,,
After Dark,Haruki Murakami,after-dark,after_dark.png,2004,2025,read,--,Over one Tokyo night strangers collide in bars hotels and backstreets as loneliness violence and compassion briefly intersect.,,Japan,https://openlibrary.org/search?title=After+Dark&author=Haruki+Murakami,,,,
Norwegian Wood,Haruki Murakami,norwegian-wood,norwegian_wood.png,1987,2025,read,--,Toru Watanabe looks back on youth and grief as he is torn between fragile Naoko and vibrant Midori.,,Japan,https://openlibrary.org/search?title=Norwegian+Wood&author=Haruki+Murakami,,,,
The Factory,Hiroko Oyamada,the-factory,the_factory.png,2013,2025,read,--,Three workers drift through a vast absurd factory where repetitive labor slowly erodes purpose identity and a stable sense of reality.,,Japan,https://openlibrary.org/search?title=The+Factory&author=Hiroko+Oyamada,,,,
Your Utopia,Bora Chung,your-utopia,your_utopia.png,2024,2025,read,--,In darkly satirical speculative stories Bora Chung explores surveillance technology and intimacy while exposing the human cost of conformity.,,South Korea,https://openlibrary.org/search?title=Your+Utopia&author=Bora+Chung,,,,
The Gene,Siddhartha Mukherjee,the-gene,the_gene.png,2016,2025,read,--,Mukherjee traces the science and history of genetics and examines the ethical stakes of heredity diagnosis and gene editing.,,India,https://openlibrary.org/works/OL17762235W,9781847922649,English,,History
Homo Deus,Yuval Noah Harari,homo-deus,homo_deus.png,2016,2025,read,--,Harari explores how data capitalism biotechnology and AI could reshape human goals and create new moral and political risks.,,Israel,https://openlibrary.org/works/OL27969037W,9788845298752,,,
The Hour of the Predator,Alex Scarrow,the-hour-of-the-predator,hour_of_the_predator.png,2010,2025-01-17,read,--,In this TimeRiders entry a botched mission strands Liam in the age of dinosaurs where survival threatens to rewrite history.,,United Kingdom,https://openlibrary.org/search?title=The+Hour+of+the+Predator&author=Alex+Scarrow,,,,
Pyongyang: A Journey in North Korea,Guy Delisle,pyongyang-a-journey-in-north-korea,pyongyang.png,2004,2025-02.08,read,--,Guy Delisle's graphic memoir records his tightly controlled work stay in Pyongyang with dry humor and sharp observations of authoritarian life.,,Canada,https://openlibrary.org/search?title=Pyongyang%3A+A+Journey+in+North+Korea&author=Guy+Delisle,,,,
Flashlight,Susan Choi,flashlight,flashlight.png,2025,2026-02-13,reading,--,After a father disappears during a beach walk this family saga spans decades and countries to examine grief identity and political history.,,USA,https://openlibrary.org/search?title=Flashlight&author=Susan+Choi,,,,
Strange Buildings,Uketsu,strange-buildings,strange_buildings.png,2026,2026-03-09,read,--,The story follows eleven strange buildings that at first seem like separate mysteries. As the narrator studies their designs and histories the clues slowly connect and reveal one disturbing secret behind why the buildings were created.,,Japan,https://openlibrary.org/search?title=Strange+Buildings&author=Uketsu,,,,
The Monocle Companion - Better World,Monocle,the-monocle-companion-better-world,monocle_better_world.png,2023,2025-12-30,reading,--,Fifty ideas that can improve everyday life in cities and communities.,,United Kingdom,https://openlibrary.org/search?title=The+Monocle+Companion+-+Better+World&author=Monocle,,,,
On Photography,Susan Sontag,on-photography,on_photography.png,1977,2026-04-03,reading,--,A sharp and influential set of essays on what photographs capture distort and teach us about modern life.,,USA,https://openlibrary.org/search?title=On+Photography&author=Susan+Sontag,,,Essays,
